Timepoint,Enhancer,Coding gene,Image number,Nucleus number,Enhancer spot number,Coding gene spot,Overlapped enhancer number,
0,S+AS,KLF6,1,1,0,1,0,
0,S+AS,KLF6,1,2,0,1,0,
0,S+AS,KLF6,1,3,0,1,0,
0,S+AS,KLF6,1,4,0,0,0,
0,S+AS,KLF6,1,5,0,0,0,
0,S+AS,KLF6,1,6,0,2,0,
0,S+AS,KLF6,1,7,2,1,0,
0,S+AS,KLF6,1,8,0,0,0,
0,S+AS,KLF6,1,9,0,2,0,
0,S+AS,KLF6,1,10,0,1,0,
0,S+AS,KLF6,1,11,0,0,0,
0,S+AS,KLF6,1,12,0,1,0,
0,S+AS,KLF6,1,13,0,2,0,
0,S+AS,KLF6,1,14,0,0,0,
0,S+AS,KLF6,1,15,0,1,0,
0,S+AS,KLF6,1,16,0,2,0,
0,S+AS,KLF6,1,17,0,1,0,
0,S+AS,KLF6,1,18,0,1,0,
0,S+AS,KLF6,1,19,1,1,0,
0,S+AS,KLF6,1,20,0,1,0,
0,S+AS,KLF6,1,21,0,0,0,
0,S+AS,KLF6,1,22,0,1,0,
0,S+AS,KLF6,1,23,0,3,0,
0,S+AS,KLF6,1,24,0,0,0,
0,S+AS,KLF6,1,25,0,0,0,
0,S+AS,KLF6,1,26,0,0,0,
0,S+AS,KLF6,1,27,0,0,0,
0,S+AS,KLF6,1,28,0,1,0,
0,S+AS,KLF6,1,29,0,0,0,
0,S+AS,KLF6,1,30,0,2,0,
0,S+AS,KLF6,1,31,0,1,0,
0,S+AS,KLF6,1,32,0,0,0,
0,S+AS,KLF6,2,1,0,0,0,
0,S+AS,KLF6,2,2,0,0,0,
0,S+AS,KLF6,2,3,0,0,0,
0,S+AS,KLF6,2,4,0,0,0,
0,S+AS,KLF6,2,5,0,0,0,
0,S+AS,KLF6,2,6,0,0,0,
0,S+AS,KLF6,2,7,0,0,0,
0,S+AS,KLF6,2,8,0,3,0,
0,S+AS,KLF6,2,9,0,3,0,
0,S+AS,KLF6,2,10,0,0,0,
0,S+AS,KLF6,2,11,0,0,0,
0,S+AS,KLF6,2,12,0,2,0,
0,S+AS,KLF6,2,13,0,1,0,
0,S+AS,KLF6,2,14,0,0,0,
0,S+AS,KLF6,2,15,1,0,0,
0,S+AS,KLF6,2,16,0,2,0,
0,S+AS,KLF6,2,17,0,0,0,
0,S+AS,KLF6,2,18,0,2,0,
0,S+AS,KLF6,2,19,0,2,0,
0,S+AS,KLF6,2,20,0,0,0,
0,S+AS,KLF6,2,21,0,0,0,
0,S+AS,KLF6,2,22,0,0,0,
0,S+AS,KLF6,2,23,0,0,0,
0,S+AS,KLF6,2,24,0,1,0,
0,S+AS,KLF6,2,25,0,0,0,
0,S+AS,KLF6,2,26,0,1,0,
0,S+AS,KLF6,2,27,0,2,0,
0,S+AS,KLF6,2,28,0,1,0,
0,S+AS,KLF6,2,29,0,1,0,
0,S+AS,KLF6,2,30,0,1,0,
0,S+AS,KLF6,2,31,0,1,0,
0,S+AS,KLF6,2,32,0,1,0,
0,S+AS,KLF6,2,33,0,1,0,
0,S+AS,KLF6,2,34,0,0,0,
0,S+AS,KLF6,2,35,0,1,0,
0,S+AS,KLF6,2,36,0,0,0,
0,S+AS,KLF6,2,37,0,0,0,
0,S+AS,KLF6,2,38,0,1,0,
0,S+AS,KLF6,2,39,0,2,0,
0,S+AS,KLF6,2,40,0,0,0,
0,S+AS,KLF6,2,41,0,1,0,
0,S+AS,KLF6,2,42,0,2,0,
0,S+AS,KLF6,2,43,0,1,0,
0,S+AS,KLF6,2,44,1,0,0,
0,S+AS,KLF6,2,45,0,1,0,
0,S+AS,KLF6,2,46,0,1,0,
0,S+AS,KLF6,2,47,0,0,0,
0,S+AS,KLF6,2,48,0,1,0,
0,S+AS,KLF6,3,1,0,0,0,
0,S+AS,KLF6,3,2,0,0,0,
0,S+AS,KLF6,3,3,1,0,0,
0,S+AS,KLF6,3,4,1,0,0,
0,S+AS,KLF6,3,5,0,2,0,
0,S+AS,KLF6,3,6,0,0,0,
0,S+AS,KLF6,3,7,0,0,0,
0,S+AS,KLF6,3,8,0,0,0,
0,S+AS,KLF6,3,9,1,1,0,
0,S+AS,KLF6,3,10,0,1,0,
0,S+AS,KLF6,3,11,0,1,0,
0,S+AS,KLF6,3,12,0,1,0,
0,S+AS,KLF6,3,13,0,1,0,
0,S+AS,KLF6,3,14,0,0,0,
0,S+AS,KLF6,3,15,0,0,0,
0,S+AS,KLF6,3,16,0,0,0,
0,S+AS,KLF6,3,17,1,0,0,
0,S+AS,KLF6,3,18,0,0,0,
0,S+AS,KLF6,3,19,0,4,0,
0,S+AS,KLF6,3,20,0,1,0,
6,S+AS,KLF6,1,1,0,3,0,
6,S+AS,KLF6,1,2,0,1,0,
6,S+AS,KLF6,1,3,0,3,0,
6,S+AS,KLF6,1,4,0,4,0,
6,S+AS,KLF6,1,5,0,1,0,
6,S+AS,KLF6,1,6,0,1,0,
6,S+AS,KLF6,1,7,0,2,0,
6,S+AS,KLF6,1,8,1,2,0,
6,S+AS,KLF6,1,9,0,1,0,
6,S+AS,KLF6,1,10,0,0,0,
6,S+AS,KLF6,1,11,0,2,0,
6,S+AS,KLF6,1,12,1,2,1,
6,S+AS,KLF6,1,13,0,1,0,
6,S+AS,KLF6,1,14,0,0,0,
6,S+AS,KLF6,1,15,0,1,0,
6,S+AS,KLF6,1,16,0,1,0,
6,S+AS,KLF6,1,17,0,0,0,
6,S+AS,KLF6,1,18,0,1,0,
6,S+AS,KLF6,1,19,1,2,1,
6,S+AS,KLF6,1,20,1,2,0,
6,S+AS,KLF6,1,21,0,2,0,
6,S+AS,KLF6,1,22,1,0,0,
6,S+AS,KLF6,1,23,1,0,0,
6,S+AS,KLF6,1,24,0,2,0,
6,S+AS,KLF6,1,25,0,2,0,
6,S+AS,KLF6,1,26,1,2,0,
6,S+AS,KLF6,1,27,0,3,0,
6,S+AS,KLF6,1,28,0,2,0,
6,S+AS,KLF6,1,29,0,1,0,
6,S+AS,KLF6,1,30,0,2,0,
6,S+AS,KLF6,1,31,0,0,0,
6,S+AS,KLF6,1,32,0,1,0,
6,S+AS,KLF6,1,33,0,2,0,
6,S+AS,KLF6,1,34,0,0,0,
6,S+AS,KLF6,1,35,0,1,0,
6,S+AS,KLF6,1,36,0,1,0,
6,S+AS,KLF6,1,37,0,0,0,
6,S+AS,KLF6,1,38,0,2,0,
6,S+AS,KLF6,1,39,0,0,0,
6,S+AS,KLF6,1,40,0,3,0,
6,S+AS,KLF6,1,41,0,3,0,
6,S+AS,KLF6,1,42,0,0,0,
6,S+AS,KLF6,1,43,0,1,0,
6,S+AS,KLF6,1,44,0,2,0,
6,S+AS,KLF6,1,45,0,1,0,
6,S+AS,KLF6,1,46,0,0,0,
6,S+AS,KLF6,2,47,0,2,0,
6,S+AS,KLF6,2,48,0,1,0,
6,S+AS,KLF6,2,49,0,2,0,
6,S+AS,KLF6,2,50,0,1,0,
6,S+AS,KLF6,2,51,0,0,0,
6,S+AS,KLF6,2,52,0,1,0,
6,S+AS,KLF6,2,53,0,1,0,
6,S+AS,KLF6,2,54,0,1,0,
6,S+AS,KLF6,2,55,0,0,0,
6,S+AS,KLF6,2,56,0,0,0,
6,S+AS,KLF6,2,57,0,1,0,
6,S+AS,KLF6,2,58,0,0,0,
6,S+AS,KLF6,2,59,0,0,0,
6,S+AS,KLF6,2,60,0,1,0,
6,S+AS,KLF6,2,61,1,1,1,
6,S+AS,KLF6,2,62,0,0,0,
6,S+AS,KLF6,2,63,0,1,0,
6,S+AS,KLF6,2,64,0,0,0,
6,S+AS,KLF6,2,65,0,2,0,
6,S+AS,KLF6,2,66,1,2,0,
6,S+AS,KLF6,2,67,0,3,0,
6,S+AS,KLF6,2,68,0,3,0,
6,S+AS,KLF6,2,69,0,2,0,
6,S+AS,KLF6,2,70,0,2,0,
6,S+AS,KLF6,2,71,0,2,0,
6,S+AS,KLF6,2,72,0,0,0,
6,S+AS,KLF6,2,73,0,2,0,
6,S+AS,KLF6,2,74,0,1,0,
6,S+AS,KLF6,2,75,0,2,0,
6,S+AS,KLF6,2,76,0,0,0,
6,S+AS,KLF6,2,77,0,0,0,
6,S+AS,KLF6,2,78,1,0,0,
6,S+AS,KLF6,2,79,0,1,0,
6,S+AS,KLF6,2,80,0,2,0,
6,S+AS,KLF6,2,81,0,1,0,
6,S+AS,KLF6,2,82,0,1,0,
6,S+AS,KLF6,2,83,0,1,0,
6,S+AS,KLF6,2,84,0,1,0,
6,S+AS,KLF6,2,85,0,2,0,
6,S+AS,KLF6,2,86,1,0,0,
6,S+AS,KLF6,2,87,0,1,0,
6,S+AS,KLF6,2,88,0,0,0,
6,S+AS,KLF6,2,89,0,0,0,
6,S+AS,KLF6,2,90,1,0,0,
6,S+AS,KLF6,2,91,0,2,0,
6,S+AS,KLF6,2,92,0,0,0,
6,S+AS,KLF6,2,93,0,1,0,
6,S+AS,KLF6,2,94,0,0,0,
6,S+AS,KLF6,2,95,0,0,0,
6,S+AS,KLF6,2,96,0,3,0,
6,S+AS,KLF6,2,97,0,1,0,
6,S+AS,KLF6,3,98,0,2,0,
6,S+AS,KLF6,3,99,0,2,0,
6,S+AS,KLF6,3,100,0,2,0,
24,S+AS,KLF6,7,1,0,2,0,
24,S+AS,KLF6,7,2,1,3,0,
24,S+AS,KLF6,7,3,0,1,0,
24,S+AS,KLF6,7,4,0,1,0,
24,S+AS,KLF6,7,5,0,1,0,
24,S+AS,KLF6,7,6,0,1,0,
24,S+AS,KLF6,7,7,0,2,0,
24,S+AS,KLF6,7,8,1,3,1,
24,S+AS,KLF6,7,9,0,3,0,
24,S+AS,KLF6,7,10,1,3,0,
24,S+AS,KLF6,7,11,0,2,0,
24,S+AS,KLF6,7,12,0,2,0,
24,S+AS,KLF6,7,13,2,3,0,
24,S+AS,KLF6,7,14,0,1,0,
24,S+AS,KLF6,7,15,1,3,0,
24,S+AS,KLF6,7,16,0,2,0,
24,S+AS,KLF6,7,17,0,1,0,
