Timepoint,Chromosome number,Enhancer,Coding gene,Image number,Nucleus number,Sense enhancer spot number,Anti-sense enhancer spot number,Overlapped enhancer number
0,10,S+AS (separate),None,1,1,0,0,0
0,10,S+AS (separate),None,1,2,0,0,0
0,10,S+AS (separate),None,1,3,1,0,0
0,10,S+AS (separate),None,1,4,1,0,0
0,10,S+AS (separate),None,1,5,0,0,0
0,10,S+AS (separate),None,1,6,1,0,0
0,10,S+AS (separate),None,1,7,0,0,0
0,10,S+AS (separate),None,1,8,0,0,0
0,10,S+AS (separate),None,1,9,0,0,0
0,10,S+AS (separate),None,1,10,0,0,0
0,10,S+AS (separate),None,1,11,0,0,0
0,10,S+AS (separate),None,1,12,1,0,0
0,10,S+AS (separate),None,1,13,1,0,0
0,10,S+AS (separate),None,1,14,0,0,0
0,10,S+AS (separate),None,1,15,1,0,0
0,10,S+AS (separate),None,1,16,0,0,0
0,10,S+AS (separate),None,1,17,1,0,0
0,10,S+AS (separate),None,1,18,0,0,0
0,10,S+AS (separate),None,1,19,0,0,0
0,10,S+AS (separate),None,1,20,0,0,0
0,10,S+AS (separate),None,1,21,0,0,0
0,10,S+AS (separate),None,1,22,1,0,0
0,10,S+AS (separate),None,1,23,2,0,0
0,10,S+AS (separate),None,1,24,0,0,0
0,10,S+AS (separate),None,1,25,0,0,0
0,10,S+AS (separate),None,1,26,0,1,0
0,10,S+AS (separate),None,1,27,1,0,0
0,10,S+AS (separate),None,1,28,0,0,0
0,10,S+AS (separate),None,1,29,0,0,0
0,10,S+AS (separate),None,1,30,1,0,0
0,10,S+AS (separate),None,1,31,1,0,0
0,10,S+AS (separate),None,1,32,0,0,0
0,10,S+AS (separate),None,1,33,1,0,0
0,10,S+AS (separate),None,1,34,0,0,0
0,10,S+AS (separate),None,1,35,0,0,0
0,10,S+AS (separate),None,1,36,0,0,0
0,10,S+AS (separate),None,1,37,0,0,0
0,10,S+AS (separate),None,1,38,0,0,0
0,10,S+AS (separate),None,1,39,0,0,0
0,10,S+AS (separate),None,1,40,1,0,0
0,10,S+AS (separate),None,1,41,1,0,0
0,10,S+AS (separate),None,1,42,0,0,0
0,10,S+AS (separate),None,1,43,1,0,0
0,10,S+AS (separate),None,1,44,0,0,0
0,10,S+AS (separate),None,1,45,1,0,0
0,10,S+AS (separate),None,1,46,0,0,0
0,10,S+AS (separate),None,1,47,0,0,0
0,10,S+AS (separate),None,1,48,0,0,0
0,10,S+AS (separate),None,1,49,0,0,0
0,10,S+AS (separate),None,1,50,0,0,0
0,10,S+AS (separate),None,1,51,0,0,0
0,10,S+AS (separate),None,1,52,1,0,0
0,10,S+AS (separate),None,1,53,0,0,0
0,10,S+AS (separate),None,1,54,0,0,0
0,10,S+AS (separate),None,1,55,1,0,0
0,10,S+AS (separate),None,1,56,0,0,0
0,10,S+AS (separate),None,1,57,0,0,0
0,10,S+AS (separate),None,1,58,0,0,0
0,10,S+AS (separate),None,1,59,0,0,0
0,10,S+AS (separate),None,1,60,0,0,0
0,10,S+AS (separate),None,1,61,0,0,0
0,10,S+AS (separate),None,1,62,0,0,0
0,10,S+AS (separate),None,1,63,1,0,0
0,10,S+AS (separate),None,1,64,0,0,0
0,10,S+AS (separate),None,1,65,0,0,0
0,10,S+AS (separate),None,1,66,0,0,0
0,10,S+AS (separate),None,1,67,0,0,0
0,10,S+AS (separate),None,1,68,0,0,0
0,10,S+AS (separate),None,1,69,0,0,0
0,10,S+AS (separate),None,1,70,0,0,0
0,10,S+AS (separate),None,1,71,0,0,0
0,10,S+AS (separate),None,1,72,0,0,0
0,10,S+AS (separate),None,1,73,1,0,0
0,10,S+AS (separate),None,1,74,0,0,0
0,10,S+AS (separate),None,1,75,0,0,0
0,10,S+AS (separate),None,1,76,0,0,0
0,10,S+AS (separate),None,1,77,0,0,0
0,10,S+AS (separate),None,1,78,0,0,0
0,10,S+AS (separate),None,1,79,0,0,0
0,10,S+AS (separate),None,1,80,0,0,0
0,10,S+AS (separate),None,1,81,0,0,0
0,10,S+AS (separate),None,1,82,0,0,0
0,10,S+AS (separate),None,1,83,0,0,0
0,10,S+AS (separate),None,1,84,1,0,0
0,10,S+AS (separate),None,1,85,0,0,0
0,10,S+AS (separate),None,1,86,0,0,0
0,10,S+AS (separate),None,1,87,0,0,0
0,10,S+AS (separate),None,1,88,0,0,0
0,10,S+AS (separate),None,1,89,0,0,0
0,10,S+AS (separate),None,1,90,0,0,0
0,10,S+AS (separate),None,1,91,0,0,0
0,10,S+AS (separate),None,1,92,1,0,0
0,10,S+AS (separate),None,1,93,0,0,0
0,10,S+AS (separate),None,1,94,0,0,0
0,10,S+AS (separate),None,1,95,0,0,0
0,10,S+AS (separate),None,1,96,0,0,0
0,10,S+AS (separate),None,1,97,0,0,0
0,10,S+AS (separate),None,1,98,0,0,0
0,10,S+AS (separate),None,1,99,0,0,0
0,10,S+AS (separate),None,1,100,1,0,0
6,10,S+AS (separate),None,1,1,0,0,0
6,10,S+AS (separate),None,1,2,0,0,0
6,10,S+AS (separate),None,1,3,1,0,0
6,10,S+AS (separate),None,1,4,1,0,0
6,10,S+AS (separate),None,1,5,0,1,0
6,10,S+AS (separate),None,1,6,0,0,0
6,10,S+AS (separate),None,1,7,0,0,0
6,10,S+AS (separate),None,1,8,1,0,0
6,10,S+AS (separate),None,1,9,2,0,0
6,10,S+AS (separate),None,1,10,1,0,0
6,10,S+AS (separate),None,1,11,2,0,0
6,10,S+AS (separate),None,1,12,1,0,0
6,10,S+AS (separate),None,1,13,1,0,0
6,10,S+AS (separate),None,1,14,0,0,0
6,10,S+AS (separate),None,1,15,0,0,0
6,10,S+AS (separate),None,1,16,0,1,0
6,10,S+AS (separate),None,1,17,0,0,0
6,10,S+AS (separate),None,1,18,0,0,0
6,10,S+AS (separate),None,1,19,1,0,0
6,10,S+AS (separate),None,1,20,0,0,0
6,10,S+AS (separate),None,1,21,1,0,0
6,10,S+AS (separate),None,1,22,1,0,0
6,10,S+AS (separate),None,1,23,0,0,0
6,10,S+AS (separate),None,1,24,1,0,0
6,10,S+AS (separate),None,1,25,0,0,0
6,10,S+AS (separate),None,1,26,0,0,0
6,10,S+AS (separate),None,1,27,0,0,0
6,10,S+AS (separate),None,1,28,0,0,0
6,10,S+AS (separate),None,1,29,0,0,0
6,10,S+AS (separate),None,1,30,1,0,0
6,10,S+AS (separate),None,1,31,1,0,0
6,10,S+AS (separate),None,1,32,0,0,0
6,10,S+AS (separate),None,1,33,0,0,0
6,10,S+AS (separate),None,1,34,1,0,0
6,10,S+AS (separate),None,1,35,0,0,0
6,10,S+AS (separate),None,1,36,1,0,0
6,10,S+AS (separate),None,1,37,3,0,0
6,10,S+AS (separate),None,1,38,1,0,0
6,10,S+AS (separate),None,1,39,0,0,0
6,10,S+AS (separate),None,1,40,0,0,0
6,10,S+AS (separate),None,1,41,1,0,0
6,10,S+AS (separate),None,1,42,0,0,0
6,10,S+AS (separate),None,1,43,1,0,0
6,10,S+AS (separate),None,1,44,0,0,0
6,10,S+AS (separate),None,1,45,0,0,0
6,10,S+AS (separate),None,1,46,0,0,0
6,10,S+AS (separate),None,1,47,2,0,0
6,10,S+AS (separate),None,1,48,0,0,0
6,10,S+AS (separate),None,1,49,1,0,0
6,10,S+AS (separate),None,1,50,1,0,0
6,10,S+AS (separate),None,1,51,2,0,0
6,10,S+AS (separate),None,1,52,0,0,0
6,10,S+AS (separate),None,1,53,0,0,0
6,10,S+AS (separate),None,1,54,0,0,0
6,10,S+AS (separate),None,1,55,0,0,0
6,10,S+AS (separate),None,2,56,0,0,0
6,10,S+AS (separate),None,2,57,0,0,0
6,10,S+AS (separate),None,2,58,0,0,0
6,10,S+AS (separate),None,2,59,1,0,0
6,10,S+AS (separate),None,2,60,1,0,0
6,10,S+AS (separate),None,2,61,1,0,0
6,10,S+AS (separate),None,2,62,0,0,0
6,10,S+AS (separate),None,2,63,0,0,0
6,10,S+AS (separate),None,2,64,0,0,0
6,10,S+AS (separate),None,2,65,0,0,0
6,10,S+AS (separate),None,2,66,0,0,0
6,10,S+AS (separate),None,2,67,0,0,0
6,10,S+AS (separate),None,2,68,1,0,0
6,10,S+AS (separate),None,2,69,0,0,0
6,10,S+AS (separate),None,2,70,1,0,0
6,10,S+AS (separate),None,2,71,0,0,0
6,10,S+AS (separate),None,2,72,0,0,0
6,10,S+AS (separate),None,2,73,0,0,0
6,10,S+AS (separate),None,2,74,1,0,0
6,10,S+AS (separate),None,2,75,1,0,0
6,10,S+AS (separate),None,2,76,2,0,0
6,10,S+AS (separate),None,2,77,1,0,0
6,10,S+AS (separate),None,2,78,1,0,0
6,10,S+AS (separate),None,2,79,1,0,0
6,10,S+AS (separate),None,2,80,3,1,1
6,10,S+AS (separate),None,2,81,1,0,0
6,10,S+AS (separate),None,2,82,1,0,0
6,10,S+AS (separate),None,2,83,1,0,0
6,10,S+AS (separate),None,2,84,3,0,0
6,10,S+AS (separate),None,2,85,0,0,0
6,10,S+AS (separate),None,2,86,0,0,0
6,10,S+AS (separate),None,2,87,1,0,0
6,10,S+AS (separate),None,2,88,0,0,0
6,10,S+AS (separate),None,2,89,0,0,0
6,10,S+AS (separate),None,2,90,0,0,0
6,10,S+AS (separate),None,2,91,0,0,0
6,10,S+AS (separate),None,2,92,1,1,0
6,10,S+AS (separate),None,2,93,1,0,0
6,10,S+AS (separate),None,2,94,1,0,0
6,10,S+AS (separate),None,2,95,0,0,0
6,10,S+AS (separate),None,2,96,0,0,0
6,10,S+AS (separate),None,2,97,0,0,0
6,10,S+AS (separate),None,2,98,0,0,0
6,10,S+AS (separate),None,2,99,1,0,0
6,10,S+AS (separate),None,2,100,0,0,0
24,10,S+AS (separate),None,1,1,0,0,0
24,10,S+AS (separate),None,1,2,1,0,0
24,10,S+AS (separate),None,1,3,2,0,0
24,10,S+AS (separate),None,1,4,1,0,0
24,10,S+AS (separate),None,1,5,0,0,0
24,10,S+AS (separate),None,1,6,0,0,0
24,10,S+AS (separate),None,1,7,2,0,0
24,10,S+AS (separate),None,1,8,1,0,0
24,10,S+AS (separate),None,1,9,2,0,0
24,10,S+AS (separate),None,1,10,0,0,0
24,10,S+AS (separate),None,1,11,1,0,0
24,10,S+AS (separate),None,1,12,0,0,0
24,10,S+AS (separate),None,1,13,1,0,0
24,10,S+AS (separate),None,3,14,0,1,0
24,10,S+AS (separate),None,1,15,0,0,0
24,10,S+AS (separate),None,1,16,0,0,0
24,10,S+AS (separate),None,1,17,1,0,0
24,10,S+AS (separate),None,1,18,0,0,0
24,10,S+AS (separate),None,1,19,0,0,0
24,10,S+AS (separate),None,1,20,0,0,0
24,10,S+AS (separate),None,1,21,0,0,0
24,10,S+AS (separate),None,1,22,0,0,0
24,10,S+AS (separate),None,1,23,0,0,0
24,10,S+AS (separate),None,1,24,1,0,0
24,10,S+AS (separate),None,1,25,1,0,0
24,10,S+AS (separate),None,1,26,0,0,0
24,10,S+AS (separate),None,1,27,0,0,0
24,10,S+AS (separate),None,1,28,0,0,0
24,10,S+AS (separate),None,1,29,0,0,0
24,10,S+AS (separate),None,1,30,0,0,0
24,10,S+AS (separate),None,1,31,1,0,0
24,10,S+AS (separate),None,1,32,1,0,0
24,10,S+AS (separate),None,1,33,1,0,0
24,10,S+AS (separate),None,1,34,0,0,0
24,10,S+AS (separate),None,1,35,0,0,0
24,10,S+AS (separate),None,1,36,0,0,0
24,10,S+AS (separate),None,1,37,0,0,0
24,10,S+AS (separate),None,1,38,1,0,0
24,10,S+AS (separate),None,1,39,0,0,0
24,10,S+AS (separate),None,1,40,1,1,0
24,10,S+AS (separate),None,1,41,0,0,0
24,10,S+AS (separate),None,1,42,1,1,1
24,10,S+AS (separate),None,1,43,0,0,0
24,10,S+AS (separate),None,1,44,1,0,0
24,10,S+AS (separate),None,1,45,1,0,0
24,10,S+AS (separate),None,1,46,1,1,1
24,10,S+AS (separate),None,1,47,0,0,0
24,10,S+AS (separate),None,1,48,0,0,0
24,10,S+AS (separate),None,1,49,2,0,0
24,10,S+AS (separate),None,1,50,0,0,0
24,10,S+AS (separate),None,1,51,3,0,0
24,10,S+AS (separate),None,2,52,0,0,0
24,10,S+AS (separate),None,2,53,0,0,0
24,10,S+AS (separate),None,2,54,2,1,0
24,10,S+AS (separate),None,2,55,0,0,0
24,10,S+AS (separate),None,2,56,1,0,0
24,10,S+AS (separate),None,2,57,1,0,0
24,10,S+AS (separate),None,2,58,1,0,0
24,10,S+AS (separate),None,2,59,2,0,0
24,10,S+AS (separate),None,2,60,2,0,0
24,10,S+AS (separate),None,2,61,2,0,0
24,10,S+AS (separate),None,2,62,0,0,0
24,10,S+AS (separate),None,2,63,1,0,0
24,10,S+AS (separate),None,2,64,1,0,0
24,10,S+AS (separate),None,2,65,1,0,0
24,10,S+AS (separate),None,2,66,0,0,0
24,10,S+AS (separate),None,2,67,1,0,0
24,10,S+AS (separate),None,2,68,1,0,0
24,10,S+AS (separate),None,2,69,1,0,0
24,10,S+AS (separate),None,2,70,1,0,0
24,10,S+AS (separate),None,2,71,1,0,0
24,10,S+AS (separate),None,2,72,0,0,0
24,10,S+AS (separate),None,2,73,1,0,0
24,10,S+AS (separate),None,2,74,1,0,0
24,10,S+AS (separate),None,2,75,2,0,0
24,10,S+AS (separate),None,2,76,0,0,0
24,10,S+AS (separate),None,2,77,0,0,0
24,10,S+AS (separate),None,2,78,0,0,0
24,10,S+AS (separate),None,2,79,0,0,0
24,10,S+AS (separate),None,2,80,1,0,0
24,10,S+AS (separate),None,2,81,0,0,0
24,10,S+AS (separate),None,2,82,0,1,0
24,10,S+AS (separate),None,2,83,2,1,1
24,10,S+AS (separate),None,2,84,1,0,0
24,10,S+AS (separate),None,2,85,0,0,0
24,10,S+AS (separate),None,2,86,0,1,0
24,10,S+AS (separate),None,2,87,0,0,0
24,10,S+AS (separate),None,2,88,1,0,0
24,10,S+AS (separate),None,2,89,0,0,0
24,10,S+AS (separate),None,2,90,1,0,0
24,10,S+AS (separate),None,2,91,0,0,0
24,10,S+AS (separate),None,2,92,0,0,0
24,10,S+AS (separate),None,2,93,0,1,0
24,10,S+AS (separate),None,2,94,0,0,0
24,10,S+AS (separate),None,2,95,0,0,0
24,10,S+AS (separate),None,2,96,0,0,0
24,10,S+AS (separate),None,2,97,0,0,0
24,10,S+AS (separate),None,3,98,2,0,0
24,10,S+AS (separate),None,3,99,0,0,0
24,10,S+AS (separate),None,3,100,1,0,0
0,20,S+AS (separate),None,1,1,0,0,0
0,20,S+AS (separate),None,1,2,1,0,0
0,20,S+AS (separate),None,1,3,0,0,0
0,20,S+AS (separate),None,1,4,0,0,0
0,20,S+AS (separate),None,1,5,0,0,0
0,20,S+AS (separate),None,1,6,1,0,0
0,20,S+AS (separate),None,1,7,0,0,0
0,20,S+AS (separate),None,1,8,0,0,0
0,20,S+AS (separate),None,1,9,1,0,0
0,20,S+AS (separate),None,1,10,0,0,0
0,20,S+AS (separate),None,1,11,1,0,0
0,20,S+AS (separate),None,1,12,0,1,0
0,20,S+AS (separate),None,1,13,1,0,0
0,20,S+AS (separate),None,1,14,0,0,0
0,20,S+AS (separate),None,1,15,0,0,0
0,20,S+AS (separate),None,1,16,0,0,0
0,20,S+AS (separate),None,1,17,0,0,0
0,20,S+AS (separate),None,1,18,0,0,0
0,20,S+AS (separate),None,1,19,0,0,0
0,20,S+AS (separate),None,1,20,1,0,0
0,20,S+AS (separate),None,1,21,0,0,0
0,20,S+AS (separate),None,1,22,0,0,0
0,20,S+AS (separate),None,1,23,1,0,0
0,20,S+AS (separate),None,1,24,2,0,0
0,20,S+AS (separate),None,1,25,0,0,0
0,20,S+AS (separate),None,1,26,1,0,0
0,20,S+AS (separate),None,1,27,0,0,0
0,20,S+AS (separate),None,1,28,1,0,0
0,20,S+AS (separate),None,1,29,0,1,0
0,20,S+AS (separate),None,1,30,1,0,0
0,20,S+AS (separate),None,1,31,1,0,0
0,20,S+AS (separate),None,1,32,0,0,0
0,20,S+AS (separate),None,1,33,0,0,0
0,20,S+AS (separate),None,1,34,0,0,0
0,20,S+AS (separate),None,1,35,0,0,0
0,20,S+AS (separate),None,1,36,0,0,0
0,20,S+AS (separate),None,1,37,1,0,0
0,20,S+AS (separate),None,1,38,0,0,0
0,20,S+AS (separate),None,1,39,0,0,0
0,20,S+AS (separate),None,1,40,0,0,0
0,20,S+AS (separate),None,1,41,0,0,0
0,20,S+AS (separate),None,1,42,0,0,0
0,20,S+AS (separate),None,1,43,0,0,0
0,20,S+AS (separate),None,1,44,2,0,0
0,20,S+AS (separate),None,1,45,0,0,0
0,20,S+AS (separate),None,1,46,0,0,0
0,20,S+AS (separate),None,1,47,0,0,0
0,20,S+AS (separate),None,1,48,0,0,0
0,20,S+AS (separate),None,1,49,0,0,0
0,20,S+AS (separate),None,1,50,1,0,0
0,20,S+AS (separate),None,1,51,0,0,0
0,20,S+AS (separate),None,1,52,0,0,0
0,20,S+AS (separate),None,2,53,0,0,0
0,20,S+AS (separate),None,2,54,1,0,0
0,20,S+AS (separate),None,2,55,3,0,0
0,20,S+AS (separate),None,2,56,0,0,0
0,20,S+AS (separate),None,2,57,1,0,0
0,20,S+AS (separate),None,2,58,0,0,0
0,20,S+AS (separate),None,2,59,1,0,0
0,20,S+AS (separate),None,2,60,1,0,0
0,20,S+AS (separate),None,2,61,1,0,0
0,20,S+AS (separate),None,2,62,0,0,0
0,20,S+AS (separate),None,2,63,0,0,0
0,20,S+AS (separate),None,2,64,0,0,0
0,20,S+AS (separate),None,2,65,0,0,0
0,20,S+AS (separate),None,2,66,0,0,0
0,20,S+AS (separate),None,2,67,2,0,0
0,20,S+AS (separate),None,2,68,3,0,0
0,20,S+AS (separate),None,2,69,1,0,0
0,20,S+AS (separate),None,2,70,2,0,0
0,20,S+AS (separate),None,2,71,2,0,0
0,20,S+AS (separate),None,2,72,0,0,0
0,20,S+AS (separate),None,2,73,2,0,0
0,20,S+AS (separate),None,2,74,0,0,0
0,20,S+AS (separate),None,2,75,1,0,0
0,20,S+AS (separate),None,2,76,1,0,0
0,20,S+AS (separate),None,2,77,0,0,0
0,20,S+AS (separate),None,2,78,0,0,0
0,20,S+AS (separate),None,2,79,0,0,0
0,20,S+AS (separate),None,2,80,0,0,0
0,20,S+AS (separate),None,2,81,1,0,0
0,20,S+AS (separate),None,2,82,0,0,0
0,20,S+AS (separate),None,2,83,1,0,0
0,20,S+AS (separate),None,2,84,1,0,0
0,20,S+AS (separate),None,2,85,0,0,0
0,20,S+AS (separate),None,2,86,0,0,0
0,20,S+AS (separate),None,2,87,0,0,0
0,20,S+AS (separate),None,2,88,0,0,0
0,20,S+AS (separate),None,2,89,1,0,0
0,20,S+AS (separate),None,2,90,0,0,0
0,20,S+AS (separate),None,2,91,0,0,0
0,20,S+AS (separate),None,2,92,1,0,0
0,20,S+AS (separate),None,3,93,1,0,0
0,20,S+AS (separate),None,3,94,1,0,0
0,20,S+AS (separate),None,3,95,0,0,0
0,20,S+AS (separate),None,3,96,1,0,0
0,20,S+AS (separate),None,3,97,0,0,0
0,20,S+AS (separate),None,3,98,1,0,0
0,20,S+AS (separate),None,3,99,2,0,0
0,20,S+AS (separate),None,3,100,4,0,0
6,20,S+AS (separate),None,1,1,0,0,0
6,20,S+AS (separate),None,1,2,2,0,0
6,20,S+AS (separate),None,1,3,0,0,0
6,20,S+AS (separate),None,1,4,0,0,0
6,20,S+AS (separate),None,1,5,4,0,0
6,20,S+AS (separate),None,1,6,1,0,0
6,20,S+AS (separate),None,1,7,2,0,0
6,20,S+AS (separate),None,1,8,1,0,0
6,20,S+AS (separate),None,1,9,1,0,0
6,20,S+AS (separate),None,1,10,0,0,0
6,20,S+AS (separate),None,1,11,0,0,0
6,20,S+AS (separate),None,1,12,1,0,0
6,20,S+AS (separate),None,1,13,2,0,0
6,20,S+AS (separate),None,1,14,1,0,0
6,20,S+AS (separate),None,1,15,4,0,0
6,20,S+AS (separate),None,1,16,1,0,0
6,20,S+AS (separate),None,1,17,3,0,0
6,20,S+AS (separate),None,1,18,2,0,0
6,20,S+AS (separate),None,1,19,0,0,0
6,20,S+AS (separate),None,1,20,0,0,0
6,20,S+AS (separate),None,1,21,0,0,0
6,20,S+AS (separate),None,1,22,0,0,0
6,20,S+AS (separate),None,1,23,0,0,0
6,20,S+AS (separate),None,1,24,1,0,0
6,20,S+AS (separate),None,1,25,0,0,0
6,20,S+AS (separate),None,1,26,2,0,0
6,20,S+AS (separate),None,1,27,5,0,0
6,20,S+AS (separate),None,1,28,4,1,0
6,20,S+AS (separate),None,1,29,2,0,0
6,20,S+AS (separate),None,1,30,1,0,0
6,20,S+AS (separate),None,1,31,3,0,0
6,20,S+AS (separate),None,1,32,1,0,0
6,20,S+AS (separate),None,1,33,1,0,0
6,20,S+AS (separate),None,1,34,0,0,0
6,20,S+AS (separate),None,1,35,0,0,0
6,20,S+AS (separate),None,1,36,0,0,0
6,20,S+AS (separate),None,1,37,3,0,0
6,20,S+AS (separate),None,1,38,0,0,0
6,20,S+AS (separate),None,1,39,0,0,0
6,20,S+AS (separate),None,1,40,0,0,0
6,20,S+AS (separate),None,1,41,1,0,0
6,20,S+AS (separate),None,1,42,1,0,0
6,20,S+AS (separate),None,1,43,0,0,0
6,20,S+AS (separate),None,1,44,1,0,0
6,20,S+AS (separate),None,1,45,1,0,0
6,20,S+AS (separate),None,1,46,0,0,0
6,20,S+AS (separate),None,1,47,3,0,0
6,20,S+AS (separate),None,1,48,1,0,0
6,20,S+AS (separate),None,1,49,0,0,0
6,20,S+AS (separate),None,1,50,1,0,0
6,20,S+AS (separate),None,1,51,0,0,0
6,20,S+AS (separate),None,1,52,2,0,0
6,20,S+AS (separate),None,1,53,0,0,0
6,20,S+AS (separate),None,1,54,1,0,0
6,20,S+AS (separate),None,1,55,2,0,0
6,20,S+AS (separate),None,2,56,0,0,0
6,20,S+AS (separate),None,2,57,0,0,0
6,20,S+AS (separate),None,2,58,1,1,0
6,20,S+AS (separate),None,2,59,1,0,0
6,20,S+AS (separate),None,2,60,0,0,0
6,20,S+AS (separate),None,2,61,1,0,0
6,20,S+AS (separate),None,2,62,2,0,0
