BioSample	Experiment	InsertSize	MBases	MBytes	Run	SRA_Sample	Sample_Name	description	sample_name	sample_title	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	biomaterial_provider	bioproject_id	cell_line	cell_type	dev_stage	disease	sex	tissue_type
SAMD00066188	DRX070179	641	179	123	DRR076335	DRS034949	DRS034949	Sample ID: CAGE_4_A01, Run: 1772-123-072, Well: A01, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_A01	CAGE_4_A01	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066189	DRX070180	641	242	166	DRR076336	DRS034950	DRS034950	Sample ID: CAGE_4_A02, Run: 1772-123-072, Well: A02, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_A02	CAGE_4_A02	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066190	DRX070181	641	183	126	DRR076337	DRS034951	DRS034951	Sample ID: CAGE_4_A03, Run: 1772-123-072, Well: A03, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_A03	CAGE_4_A03	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066191	DRX070182	641	309	211	DRR076338	DRS034952	DRS034952	Sample ID: CAGE_4_A04, Run: 1772-123-072, Well: A04, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_A04	CAGE_4_A04	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066192	DRX070183	641	312	213	DRR076339	DRS034953	DRS034953	Sample ID: CAGE_4_A05, Run: 1772-123-072, Well: A05, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_A05	CAGE_4_A05	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066193	DRX070184	641	314	215	DRR076340	DRS034954	DRS034954	Sample ID: CAGE_4_A06, Run: 1772-123-072, Well: A06, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_A06	CAGE_4_A06	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066194	DRX070185	641	367	251	DRR076341	DRS034955	DRS034955	Sample ID: CAGE_4_A07, Run: 1772-123-072, Well: A07, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_A07	CAGE_4_A07	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066195	DRX070186	641	324	223	DRR076342	DRS034956	DRS034956	Sample ID: CAGE_4_A08, Run: 1772-123-072, Well: A08, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_A08	CAGE_4_A08	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066196	DRX070187	641	280	193	DRR076343	DRS034957	DRS034957	Sample ID: CAGE_4_A09, Run: 1772-123-072, Well: A09, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_A09	CAGE_4_A09	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066197	DRX070188	641	234	160	DRR076344	DRS034958	DRS034958	Sample ID: CAGE_4_A10, Run: 1772-123-072, Well: A10, Cell curation: Double, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_A10	CAGE_4_A10	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066198	DRX070189	641	334	228	DRR076345	DRS034959	DRS034959	Sample ID: CAGE_4_A11, Run: 1772-123-072, Well: A11, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_A11	CAGE_4_A11	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066199	DRX070190	641	341	233	DRR076346	DRS034960	DRS034960	Sample ID: CAGE_4_A12, Run: 1772-123-072, Well: A12, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_A12	CAGE_4_A12	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066200	DRX070191	641	214	146	DRR076347	DRS034961	DRS034961	Sample ID: CAGE_4_B01, Run: 1772-123-072, Well: B01, Cell curation: G/R, Timepoint: t00, QC pass: TRUE, Lane4	CAGE_4_B01	CAGE_4_B01	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066201	DRX070192	641	244	166	DRR076348	DRS034962	DRS034962	Sample ID: CAGE_4_B02, Run: 1772-123-072, Well: B02, Cell curation: No, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_B02	CAGE_4_B02	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066202	DRX070193	641	187	128	DRR076349	DRS034963	DRS034963	Sample ID: CAGE_4_B03, Run: 1772-123-072, Well: B03, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_B03	CAGE_4_B03	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066203	DRX070194	641	321	220	DRR076350	DRS034964	DRS034964	Sample ID: CAGE_4_B04, Run: 1772-123-072, Well: B04, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_B04	CAGE_4_B04	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066204	DRX070195	641	306	209	DRR076351	DRS034965	DRS034965	Sample ID: CAGE_4_B05, Run: 1772-123-072, Well: B05, Cell curation: Green, Timepoint: t06, QC pass: TRUE, Lane4	CAGE_4_B05	CAGE_4_B05	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066205	DRX070196	641	294	201	DRR076352	DRS034966	DRS034966	Sample ID: CAGE_4_B06, Run: 1772-123-072, Well: B06, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_B06	CAGE_4_B06	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066206	DRX070197	641	345	236	DRR076353	DRS034967	DRS034967	Sample ID: CAGE_4_B07, Run: 1772-123-072, Well: B07, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_B07	CAGE_4_B07	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066207	DRX070198	641	303	208	DRR076354	DRS034968	DRS034968	Sample ID: CAGE_4_B08, Run: 1772-123-072, Well: B08, Cell curation: Dead, Timepoint: NA, QC pass: FALSE, Lane4	CAGE_4_B08	CAGE_4_B08	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
SAMD00066208	DRX070199	641	300	205	DRR076355	DRS034969	DRS034969	Sample ID: CAGE_4_B09, Run: 1772-123-072, Well: B09, Cell curation: Red, Timepoint: t24, QC pass: TRUE, Lane4	CAGE_4_B09	CAGE_4_B09	OTHER	102	PRJDB5282	RIKEN_CLST_DGT	public	sra	ncbi	Illumina HiSeq 2500	PAIRED	RANDOM	TRANSCRIPTOMIC	2016-11-17	Homo sapiens	ILLUMINA	2016-11-17	DRP003337	ATCC	PRJDB5282	A549	epithelial	58 years old	carcinoma	male	lung
