##FileFormat = OSCtable (sort of)
##ColumnVariable[Cell_ID] = A unique cell identifier made of <run ID>_<well ID>.
##ColumnVariable[Error] = Error code: Empty, Multi, Fuzzy, or Debris.
Cell_ID	Error
1772-115-311_A02	Empty
1772-115-311_A03	Empty
1772-115-311_A08	Debris
1772-115-311_B02	Empty
1772-115-311_B06	Empty
1772-115-311_B10	Multi
1772-115-311_B12	Empty
1772-115-311_C05	Empty
1772-115-311_C12	Empty
1772-115-311_D03	Multi
1772-115-311_D04	Empty
1772-115-311_D07	Multi
1772-115-311_D08	Debris
1772-115-311_D09	Multi
1772-115-311_E04	Empty
1772-115-311_E08	Empty
1772-115-311_E12	Empty
1772-115-311_F05	Debris
1772-115-311_F11	Empty
1772-115-311_G04	Multi
1772-115-311_G06	Debris
1772-115-311_G08	Debris
1772-115-311_G11	Empty
1772-115-311_H06	Empty
1772-115-311_H11	Debris
1772-115-311_H12	Empty
1772-115-314_A06	Empty
1772-115-314_A07	Fuzzy
1772-115-314_A08	Empty
1772-115-314_A10	Multi
1772-115-314_B03	Multi
1772-115-314_B04	Empty
1772-115-314_B09	Multi
1772-115-314_B10	Debris
1772-115-314_B11	Empty
1772-115-314_B12	Empty
1772-115-314_C07	Multi
1772-115-314_D08	Empty
1772-115-314_D09	Multi
1772-115-314_D10	Empty
1772-115-314_D11	Empty
1772-115-314_D12	Fuzzy
1772-115-314_E05	Empty
1772-115-314_E07	Multi
1772-115-314_E11	Empty
1772-115-314_E12	Empty
1772-115-314_F04	Empty
1772-115-314_F09	Multi
1772-115-314_F10	Empty
1772-115-314_F11	Multi
1772-115-314_G02	Empty
1772-115-314_G03	Debris
1772-115-314_G10	Empty
1772-115-314_G11	Empty
1772-115-314_H01	Debris
1772-115-314_H03	Multi
1772-115-314_H10	Empty
1772-115-314_H12	Empty
